Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,05/08/2026 08:39
Khoảng thời gian,04/08/2026 - 04/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,10735,326,3.04%,-,-,18,15,5.52%,4.60%,25469.46,30563.35,22,18,2995293,2733293,458450,6.53,5.96,15.31%,16.77%,-,-,-,262693,1694000
2,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,6152,234,3.80%,-,-,21,18,8.97%,7.69%,26190.48,30555.56,49,46,3519500,3359078,550000,6.40,6.11,15.63%,16.37%,-,-,-,207022,1314000
3,Nến 200g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,4321,126,2.92%,-,-,10,9,7.94%,7.14%,55000.00,61111.11,11,10,3318347,3068447,550000,6.03,5.58,16.57%,17.92%,-,-,-,65200,325000
4,SET QUÀ - V1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,28/07/2026 00:00:00,Không giới hạn,1108,21,1.90%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,13168,0.00,0.00,0.00%,0.00%,-,-,-,0,0
5,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,586,21,3.58%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,19583,0.00,0.00,0.00%,0.00%,-,-,-,28497,195000
6,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,295,7,2.37%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10759,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,198,3,1.52%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2584,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,162,3,1.85%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,762,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Nước Hoa,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,160,1,0.62%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1155,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [4]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2026 00:00:00,Không giới hạn,8373,148,1.77%,7,4.73%,5,4,3.38%,2.70%,71892.65,89865.82,6,5,1120000,995000,359463,3.12,2.77,32.09%,36.13%,-,-,-,59804,398000
11,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [39],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,29/07/2026 00:00:00,Không giới hạn,3984,132,3.31%,17,12.88%,10,10,7.58%,7.58%,49248.41,49248.41,12,12,2409500,2409500,492484,4.89,4.89,20.44%,20.44%,-,-,-,66113,595000
12,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,806,19,2.36%,8,42.11%,2,2,10.53%,10.53%,28368.55,28368.55,5,5,265000,265000,56737,4.67,4.67,21.41%,21.41%,-,-,-,0,0
13,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [38],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,28/07/2026 00:00:00,Không giới hạn,0,0,0.00%,0,-,1,1,0.00%,0.00%,0.00,0.00,1,1,125000,125000,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
