Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,28/08/2026 09:45
Khoảng thời gian,21/08/2026 - 21/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,4613,152,3.30%,-,-,6,6,3.95%,3.95%,33713.32,33713.32,6,6,1085760,1085760,202280,5.37,5.37,18.63%,18.63%,-,-,-,73192,672000
2,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,2133,83,3.89%,-,-,9,9,10.84%,10.84%,83333.33,83333.33,15,15,4031200,4031200,750000,5.37,5.37,18.60%,18.60%,-,-,-,106032,685000
3,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,1595,29,1.82%,-,-,2,2,6.90%,6.90%,26570.36,26570.36,2,2,230000,230000,53141,4.33,4.33,23.10%,23.10%,-,-,-,0,0
4,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,852,18,2.11%,-,-,1,1,5.56%,5.56%,49779.85,49779.85,2,2,225400,225400,49780,4.53,4.53,22.09%,22.09%,-,-,-,0,0
5,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,810,15,1.85%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,38386,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,418,3,0.72%,-,-,1,1,33.33%,33.33%,37582.15,37582.15,1,1,184500,184500,37582,4.91,4.91,20.37%,20.37%,-,-,-,0,0
7,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,314,9,2.87%,-,-,1,1,11.11%,11.11%,12026.75,12026.75,1,1,59000,59000,12027,4.91,4.91,20.38%,20.38%,-,-,-,28487,515000
8,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,120,2,1.67%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1274,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Nến 200g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,4417,128,2.90%,-,-,11,9,8.59%,7.03%,50000.00,61111.11,13,9,3423700,2403700,550000,6.22,4.37,16.06%,22.88%,-,-,-,64402,325000
10,Nến 50 - 100g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2057,73,3.55%,-,-,2,2,2.74%,2.74%,33196.38,33196.38,2,2,135000,135000,66393,2.03,2.03,49.18%,49.18%,-,-,-,29594,135000
