Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:18
Khoảng thời gian,10/09/2026 - 10/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,3869,141,3.64%,-,-,3,3,2.13%,2.13%,67329.23,67329.23,3,3,407000,407000,201988,2.01,2.01,49.63%,49.63%,-,-,-,35956,407000
2,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,3265,107,3.28%,-,-,9,8,8.41%,7.48%,68888.89,77500.00,14,13,3473500,3278500,620000,5.60,5.29,17.85%,18.91%,-,-,-,51538,295000
3,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,2415,83,3.44%,-,-,8,8,9.64%,9.64%,51746.62,51746.62,9,9,2154000,2154000,413973,5.20,5.20,19.22%,19.22%,-,-,-,95573,1569000
4,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2248,100,4.45%,-,-,1,1,1.00%,1.00%,68574.73,68574.73,1,1,65000,65000,68575,0.95,0.95,105.50%,105.50%,-,-,-,29783,340000
5,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,1574,31,1.97%,-,-,4,4,12.90%,12.90%,23991.49,23991.49,4,4,382000,382000,95966,3.98,3.98,25.12%,25.12%,-,-,-,72901,293000
6,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,767,25,3.26%,-,-,1,1,4.00%,4.00%,39516.07,39516.07,1,1,79000,79000,39516,2.00,2.00,50.02%,50.02%,-,-,-,5337,79000
7,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,433,9,2.08%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6914,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,349,17,4.87%,-,-,2,1,11.76%,5.88%,16552.17,33104.33,2,1,188000,109000,33104,5.68,3.29,17.61%,30.37%,-,-,-,0,0
9,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,335,4,1.19%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6282,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,134,5,3.73%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1187,0.00,0.00,0.00%,0.00%,-,-,-,45460,259000
